iter	RMSE
0	1.084557991
1	1.018946479
2	0.9607668541
3	0.9093397422
4	0.8632729162
5	0.8231031472
6	0.7881491683
7	0.7590223184
8	0.7332844202
9	0.7097060236
10	0.6903640286
11	0.6733796233
12	0.6577734648
13	0.6452064541
14	0.6337793543
15	0.6240093864
16	0.6137035632
17	0.6067474844
18	0.6005193117
19	0.5948818518
20	0.5890528304
21	0.5842734205
22	0.5797801674
23	0.5758326902
24	0.5716080738
25	0.5685182582
26	0.5664748355
27	0.5645550261
28	0.5623852509
29	0.56051895
30	0.5586461324
31	0.5561569194
32	0.5541055254
33	0.5520948121
34	0.5505709907
35	0.5494295565
36	0.5481599208
37	0.5469487715
38	0.5459656601
39	0.5448049527
40	0.5439134702
41	0.5426130597
42	0.5415912555
43	0.5407125701
44	0.53997148
45	0.5388786194
46	0.5378473761
47	0.5371294849
48	0.5363083802
49	0.5355736039
50	0.534839543
51	0.5340371109
52	0.5335705029
53	0.5328369722
54	0.5318178242
55	0.5310734932
56	0.5304095622
57	0.5294545575
58	0.5287662314
59	0.5280255093
60	0.5270207544
61	0.5266514011
62	0.5256302709
63	0.5248596389
64	0.5242501438
65	0.5237072198
66	0.5232071225
67	0.5225365447
68	0.5217736132
69	0.5215066236
70	0.5210200661
71	0.5203178377
72	0.5196108873
73	0.5188902087
74	0.5183081801
75	0.5179325025
76	0.5172928223
77	0.5166984542
78	0.5164018127
79	0.5158034566
80	0.5149687336
81	0.5147298028
82	0.5142412674
83	0.5135748512
84	0.5131176402
85	0.5126527629
86	0.512240312
87	0.511755715
88	0.5113197563
89	0.5108790618
90	0.5102663562
91	0.5098589723
92	0.509327723
93	0.5089460349
94	0.5083116698
95	0.5075682991
96	0.5069303063
97	0.5065754205
98	0.5058833757
99	0.5051473037
100	0.5045776074
101	0.5039922027
102	0.5036468256
103	0.5031882403
104	0.5027886675
105	0.502219052
106	0.5018607559
107	0.5013599852
108	0.5009659609
109	0.5004783035
110	0.5002515584
111	0.4998857608
112	0.4994104188
113	0.4988305951
114	0.4985298176
115	0.4981278953
116	0.4977138238
117	0.4972810098
118	0.4970545753
119	0.496669126
120	0.4963454052
121	0.4955021938
122	0.4949992019
123	0.4944888499
124	0.49401135
125	0.4937691074
126	0.4935258797
127	0.4931344943
128	0.4925741731
129	0.4920084804
130	0.4915237916
131	0.4910652995
132	0.490804418
133	0.4904557419
134	0.4900835333
135	0.4896814594
136	0.4893471291
137	0.4889374651
138	0.4886133466
139	0.4882524067
140	0.4879369336
141	0.4872904096
142	0.4868559488
143	0.4864811767
144	0.4861386967
145	0.4858427098
146	0.4853956118
147	0.4851043044
148	0.4848224948
149	0.4846074465
150	0.484291503
151	0.4839492746
152	0.483713041
153	0.4834684732
154	0.4829109528
155	0.4825603762
156	0.4819741079
157	0.4814820096
158	0.4811242401
159	0.4807185094
160	0.4803661758
161	0.4799674716
162	0.4796826562
163	0.479156682
164	0.4788513591
165	0.4785460801
166	0.4782287731
167	0.4777830517
168	0.4774755339
169	0.4772191187
170	0.4768306248
171	0.4765973352
172	0.4762384392
173	0.475853311
174	0.4755951289
175	0.4750963138
176	0.4747447832
177	0.474483634
178	0.4742805919
179	0.4740076991
180	0.4736894785
181	0.4734730164
182	0.473215915
183	0.4729802641
184	0.4726678235
185	0.472408502
186	0.471990207
187	0.4716757268
188	0.4714179881
189	0.4711396724
190	0.4708954759
191	0.4706115001
192	0.4702536372
193	0.4700815314
194	0.4698385107
195	0.469507072
196	0.4691075097
197	0.4687587544
198	0.4685297487
199	0.4683837979
200	0.4680050426
201	0.4676577112
202	0.4672631918
203	0.4668873694
204	0.4665672739
205	0.4662926201
206	0.4659391079
207	0.4655980138
208	0.4650407564
209	0.4645540998
210	0.4643470731
211	0.4639435238
212	0.4636038719
213	0.4633394019
214	0.462952224
215	0.4627046638
216	0.4623888893
217	0.462064615
218	0.4617659821
219	0.4613633261
220	0.461129237
221	0.4608414685
222	0.4605127126
223	0.4601835944
224	0.4599411844
225	0.4596447166
226	0.4594308728
227	0.4590726576
228	0.4587731579
229	0.4582804382
230	0.4580265144
231	0.4577258138
232	0.4574134708
233	0.4570386257
234	0.4566948071
235	0.456354181
236	0.4559877765
237	0.4556433206
238	0.4553770601
239	0.4548514062
240	0.4547147258
241	0.4543286778
242	0.4540330534
243	0.4537299955
244	0.4534897079
245	0.4532861438
246	0.4530655748
247	0.4526556293
248	0.4524469604
249	0.4522703108
250	0.4521083543
251	0.451941146
252	0.4517198121
253	0.4514710485
254	0.4510825297
255	0.45081185
256	0.450670447
257	0.4503859345
258	0.4500095947
259	0.4498613647
260	0.4496072043
261	0.4494163732
262	0.4491225396
263	0.4488045213
264	0.4484217129
265	0.4480983763
266	0.4477896146
267	0.4476092419
268	0.4474137868
269	0.4469549394
270	0.4467931814
271	0.4465125531
272	0.4462620922
273	0.4459733502
274	0.4458136167
275	0.4455788126
276	0.4452900324
277	0.4449793984
278	0.4445399289
279	0.4440904293
280	0.4437542794
281	0.4434069226
282	0.4430505128
283	0.4427928024
284	0.442605406
285	0.4423429329
286	0.4419967735
287	0.4416951799
288	0.4414752792
289	0.4413077846
290	0.441078255
291	0.4407368323
292	0.440562983
293	0.4402888232
294	0.439974789
295	0.4397271474
296	0.4394467411
297	0.4392660593
298	0.438955393
299	0.4386299631
300	0.4385417667
301	0.438167808
302	0.4378429407
303	0.4375910611
304	0.4374540068
305	0.437207141
306	0.4368997891
307	0.4366789013
308	0.436453608
309	0.4361779043
310	0.4359383456
311	0.435602183
312	0.4353718509
313	0.4351498706
314	0.434910856
315	0.4346972397
316	0.4344296209
317	0.4340521771
318	0.4338261003
319	0.4335503205
320	0.433428693
321	0.4332061289
322	0.4329716391
323	0.4327692752
324	0.4324693554
325	0.4321445326
326	0.4317994346
327	0.4314419106
328	0.4312173625
329	0.4309931877
330	0.4307986563
331	0.4305504519
332	0.4302699877
333	0.4300481989
334	0.4297310297
335	0.4295457783
336	0.4293876818
337	0.4290957193
338	0.4288526649
339	0.4285982613
340	0.4282421238
341	0.428086466
342	0.4277572891
343	0.4273983605
344	0.4271998614
345	0.4269826677
346	0.4266721237
347	0.4264232062
348	0.4260709088
349	0.4257674389
350	0.4256485316
351	0.4254137023
352	0.4251565664
353	0.4248781649
354	0.4247317076
355	0.4244883824
356	0.4242700409
357	0.4240308171
358	0.4238813142
359	0.4235591944
360	0.423287966
361	0.4231260715
362	0.4228995357
363	0.4225848032
364	0.4224621436
365	0.4222830894
366	0.4221484154
367	0.4219152292
368	0.421673309
369	0.4214945783
370	0.4213083489
371	0.4211153347
372	0.4210022088
373	0.4207194065
374	0.4205026657
375	0.4202764416
376	0.4200561416
377	0.4198120506
378	0.4196287498
379	0.4194321959
380	0.419301961
381	0.4190531817
382	0.418858689
383	0.4186215188
384	0.4183708622
385	0.4181665965
386	0.417955309
387	0.4176927551
388	0.4174991741
389	0.4173779829
390	0.4171424118
391	0.4168660188
392	0.4166939784
393	0.4165374388
394	0.4164008846
395	0.4161462899
396	0.415931381
397	0.4157028865
398	0.4154277147
399	0.4151773005
400	0.4150457753
401	0.4147414074
402	0.4144567282
403	0.4143165059
404	0.4139481526
405	0.4137387165
406	0.4134915003
407	0.4132012186
408	0.4129749761
409	0.4127892012
410	0.4124558212
