iter	Passed	Remaining
0	2	5562
1	5	6554
2	9	6824
3	12	7001
4	16	7251
5	20	7368
6	23	7409
7	28	7858
8	32	7860
9	37	8157
10	40	8090
11	45	8223
12	48	8207
13	54	8451
14	58	8479
15	63	8614
16	69	8908
17	73	8888
18	78	8999
19	82	9025
20	86	8945
21	89	8834
22	95	9022
23	105	9599
24	110	9600
25	114	9546
26	118	9505
27	125	9748
28	129	9694
29	133	9668
30	137	9613
31	140	9532
32	144	9481
33	148	9472
34	152	9442
35	155	9355
36	159	9326
37	163	9282
38	166	9236
39	169	9166
40	173	9113
41	187	9635
42	191	9582
43	193	9503
44	197	9457
45	202	9471
46	205	9434
47	208	9364
48	212	9335
49	216	9300
50	220	9273
51	223	9229
52	227	9223
53	232	9225
54	235	9203
55	239	9162
56	242	9119
57	246	9114
58	250	9084
59	254	9084
60	258	9060
61	262	9041
62	265	8999
63	268	8970
64	272	8937
65	278	9000
66	282	8983
67	285	8939
68	288	8921
69	292	8893
70	295	8860
71	299	8841
72	301	8798
73	306	8815
74	310	8785
75	313	8758
76	317	8744
77	321	8736
78	324	8710
79	328	8698
80	331	8670
81	334	8646
82	338	8643
83	341	8614
84	346	8616
85	349	8600
86	354	8610
87	358	8596
88	361	8574
89	364	8551
90	367	8526
91	372	8535
92	376	8522
93	379	8505
94	382	8484
95	386	8469
96	390	8458
97	393	8431
98	396	8413
99	399	8393
100	403	8380
101	406	8357
102	409	8345
103	413	8331
104	416	8318
105	421	8317
106	424	8306
107	432	8382
108	437	8400
109	442	8400
110	447	8427
111	451	8415
112	454	8397
113	457	8373
114	460	8357
115	465	8355
116	469	8363
117	473	8349
118	476	8331
119	479	8315
120	484	8317
121	487	8295
122	490	8274
123	493	8259
124	497	8252
125	500	8240
126	504	8227
127	508	8234
128	511	8208
129	514	8194
130	518	8186
131	521	8168
132	524	8156
133	528	8146
134	532	8138
135	534	8118
136	537	8100
137	541	8090
138	544	8073
139	548	8064
140	551	8047
141	555	8044
142	558	8027
143	562	8025
144	565	8014
145	568	7998
146	572	7993
147	574	7969
148	578	7964
149	582	7954
150	585	7951
151	589	7944
152	593	7940
153	596	7927
154	601	7941
155	605	7937
156	609	7934
157	613	7922
158	616	7911
159	620	7912
160	624	7907
161	627	7893
162	630	7883
163	634	7873
164	637	7864
165	641	7855
166	644	7841
167	646	7824
168	649	7806
169	652	7795
170	656	7792
171	661	7795
172	664	7788
173	667	7775
174	670	7761
175	673	7750
176	678	7751
177	682	7752
